trade_id,symbol,strategy_name,direction,signal_time,entry_time,entry_price,exit_time,exit_price,exit_reason,stop_loss,take_profit,holding_bars,risk_pips,pnl_gross_pips,spread_cost_pips,slippage_cost_pips,commission_pips,pnl_net_pips,pnl_r_multiple,regime,session,year,metadata,trend_transition
4,EURUSD,TF_PB,1,2023-01-20 09:00:00+00:00,2023-01-20 09:15:00+00:00,1.08344,2023-01-20 10:00:00+00:00,1.0849892857142858,TP,1.0825453571428572,1.0850492857142857,4,8.346428571428769,16.692857142857065,0.8,0.4,0.7,14.792857142858086,1.7723577233649577,WEAK_BULL__LOW_VOL,LONDON,2023,{'atr': 0.0005564285714285847},RANGE_TO_TREND
21,EURUSD,TF_PB,-1,2023-02-07 11:15:00+00:00,2023-02-07 11:30:00+00:00,1.07232,2023-02-07 15:15:00+00:00,1.0689899999999999,TP,1.0741049999999999,1.06893,16,17.249999999999766,34.49999999999953,0.8,0.4,0.7,32.60000000000055,1.8898550723542689,STRONG_BEAR__NORMAL_VOL,LONDON,2023,{'atr': 0.0011499999999999844},RANGE_TO_TREND
32,EURUSD,TF_PB,-1,2023-02-27 07:00:00+00:00,2023-02-27 07:15:00+00:00,1.0546600000000002,2023-02-27 08:30:00+00:00,1.0535342857142855,TP,1.055357857142857,1.0534742857142856,6,6.278571428571403,12.457142857145165,0.8,0.4,0.7,10.557142857146186,1.6814561999602595,STRONG_BEAR__LOW_VOL,LONDON,2023,{'atr': 0.0004185714285714269},RANGE_TO_TREND
37,EURUSD,TF_PB,-1,2023-03-16 15:15:00+00:00,2023-03-16 15:30:00+00:00,1.05755,2023-03-16 15:45:00+00:00,1.0603075,SL,1.0602475,1.052305,2,26.47499999999977,-26.375000000000703,0.8,0.4,0.7,-28.274999999999682,-1.0679886685148985,STRONG_BEAR__LOW_VOL,OVERLAP,2023,{'atr': 0.001764999999999985},RANGE_TO_TREND
54,EURUSD,TF_PB,-1,2023-05-01 10:30:00+00:00,2023-05-01 10:45:00+00:00,1.09998,2023-05-01 13:45:00+00:00,1.1009989285714283,SL,1.1009389285714284,1.0982421428571427,13,8.989285714285604,-8.989285714284811,0.8,0.4,0.7,-10.88928571428379,-1.2113627332778376,STRONG_BEAR__LOW_VOL,LONDON,2023,{'atr': 0.0005992857142857069},RANGE_TO_TREND
63,EURUSD,TF_PB,-1,2023-05-23 11:45:00+00:00,2023-05-23 12:00:00+00:00,1.08027,2023-05-23 13:00:00+00:00,1.0776021428571427,TP,1.0817239285714286,1.0775421428571428,5,13.939285714285914,27.878571428572307,0.8,0.4,0.7,25.97857142857333,1.8636945937685352,STRONG_BEAR__HIGH_VOL,OVERLAP,2023,{'atr': 0.0009292857142857278},RANGE_TO_TREND
75,EURUSD,TF_PB,1,2023-06-22 10:15:00+00:00,2023-06-22 10:30:00+00:00,1.09917,2023-06-22 13:00:00+00:00,1.1005471428571427,TP,1.0983764285714288,1.1006071428571427,11,7.435714285713276,14.971428571426415,0.8,0.4,0.7,13.071428571427436,1.757925071809779,STRONG_BULL__LOW_VOL,LONDON,2023,{'atr': 0.0004957142857142184},RANGE_TO_TREND
76,EURUSD,TF_PB,-1,2023-06-26 12:45:00+00:00,2023-06-26 13:00:00+00:00,1.0896000000000001,2023-06-26 13:15:00+00:00,1.0907667857142858,SL,1.0907067857142858,1.0875664285714288,2,10.467857142856728,-10.467857142857362,0.8,0.4,0.7,-12.36785714285634,-1.1815080176284853,STRONG_BEAR__NORMAL_VOL,OVERLAP,2023,{'atr': 0.0006978571428571152},RANGE_TO_TREND
78,EURUSD,TF_PB,-1,2023-07-04 14:45:00+00:00,2023-07-04 15:00:00+00:00,1.0897700000000001,2023-07-04 17:15:00+00:00,1.0907417857142858,SL,1.0906817857142859,1.0881264285714287,10,8.517857142857036,-8.51785714285791,0.8,0.4,0.7,-10.417857142856889,-1.2230607965021,STRONG_BEAR__NORMAL_VOL,OVERLAP,2023,{'atr': 0.0005678571428571358},RANGE_TO_TREND
110,EURUSD,TF_PB,1,2023-08-30 15:00:00+00:00,2023-08-30 15:15:00+00:00,1.08864,2023-08-30 15:30:00+00:00,1.0909585714285714,TP,1.0873607142857145,1.0910185714285714,2,12.192857142856846,24.3857142857129,0.8,0.4,0.7,22.48571428571392,1.8441710601885422,STRONG_BULL__NORMAL_VOL,OVERLAP,2023,{'atr': 0.0008128571428571231},RANGE_TO_TREND
